timestamp,gym,question,source,cta_type
2026-01-12T22:12:23,evolution,tell me about evolution fitness,links_knowledge
2026-01-12T22:12:37,evolution,whats classes are on monday morning?,timetable
2026-01-12T22:12:44,evolution,tell me more about move,links_knowledge
2026-01-12T22:13:06,evolution,tell me about evolution fitness,links_knowledge
2026-01-12T22:13:14,evolution,whats the timetable on monday morning,timetable
2026-01-12T22:13:21,evolution,tell me about sgpt,class_inferred
2026-01-12T22:13:31,evolution,so you offer group and 1:1 sessions,classes_overview
2026-01-12T22:13:37,evolution,who are the coaches,coaches_list
2026-01-12T22:13:42,evolution,tell me about nick,coach_bio
2026-01-12T22:13:48,evolution,where are you located,location
2026-01-12T22:13:53,evolution,great sign me up!,fallback_enquiry
2026-01-28T23:17:10,evolution,who are the coaches,coaches_list
2026-01-28T23:17:16,evolution,tell me about nick,coach_bio
2026-01-28T23:17:23,evolution,whats the timetable,fallback_enquiry
2026-01-28T23:17:28,evolution,what classes monday morning,timetable
2026-01-28T23:17:33,evolution,tell me about move,class_inferred
2026-01-29T17:10:04,evolution,tell me about your coaches,coaches_list
2026-01-29T17:10:11,evolution,who is nick,coach_bio
2026-01-29T17:10:19,evolution,what classes are monday morning,timetable
2026-01-29T17:10:24,evolution,what is move,class_inferred
2026-01-29T17:10:33,evolution,whats the schedule,fallback_enquiry
2026-01-29T17:10:39,evolution,great sign me up,fallback_enquiry
2026-01-29T17:10:56,evolution,where is the gym located?,location
2026-01-29T17:11:04,evolution,is it good for beginners,fallback_enquiry
2026-01-29T17:47:39,evolution,whats the timetable,fallback_enquiry
2026-01-29T17:47:47,evolution,what classes are monday morning,timetable
2026-01-29T17:47:51,evolution,who are the coaches,coaches_list
2026-01-29T17:47:59,evolution,tell me more about nick,coach_bio
2026-01-29T17:51:30,evolution,whats the timetable,fallback_enquiry
2026-01-29T17:51:35,evolution,link me the timetable,fallback_enquiry
2026-01-29T17:51:52,evolution,Can I see the timetable?,fallback_enquiry
2026-01-29T20:41:37,evolution,whats the timetable,fallback_enquiry
2026-01-29T20:41:53,evolution,link the timetable,fallback_enquiry
2026-01-29T20:41:59,evolution,who are the coaches,coaches_list
2026-01-29T20:44:33,evolution,what classes are monday morning,timetable
2026-01-29T20:44:40,evolution,send me the timetabke,fallback_enquiry
2026-01-29T20:45:04,evolution,whats 21 day transformation,challenge
2026-01-29T23:17:08,evolution,classes monday morning,timetable
2026-01-29T23:17:16,evolution,monday morning classes,timetable
2026-02-02T23:12:59,evolution,how much does the gym cos,fallback_enquiry
2026-02-02T23:13:04,evolution,whats the pricing,fallback_enquiry
2026-02-02T23:13:10,evolution,who are the coaches,coaches_list
2026-02-02T23:13:17,evolution,whats the timetable,timetable_link
2026-02-02T23:13:27,evolution,do you have group classes,classes_overview
